Changelog Title,Slug,Release Date,Audiences,Main Image,Excerpt,Description,Meta Title,Meta Description,_source_url
Show your business name on customer bank statements for direct debit payments,your-business-name-on-customers-bank-statements-when-paying-with-direct-debit,2025-09-09T00:00:00Z,Accountants & Bookkeepers,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/68c02b9393ca6bf482b1f033_Screenshot%202025-09-09%20at%2014.26.28.png,"<p id="""">Make <strong>direct debit payments</strong> <strong id="""">easier to recognise</strong> for your clients by showing your business name when they complete direct debit mandates and make payments. </p><p id="""">‍</p><p id="""">🕵️ This makes payments easier to identify, <strong>i</strong><strong id="""">ncreasing trust and also easing reconciliation efforts.</strong> </p><p id=""""><br>👉 <strong id="""">Look out for a banner in your Adfin console </strong>where you'll have the opportunity to upgrade and use this new functionality. </p>","<p id="""">Make <strong id="""">direct debit payments</strong> <strong id="""">easier to recognise</strong> for your clients by showing your business name when they complete direct debit mandates and make payments. </p><p id="""">‍</p><p id="""">🕵️ This makes payments easier to identify, <strong id="""">increasing trust and also easing reconciliation efforts.</strong> </p><p id=""""><br>👉 <strong id="""">Look out for a banner in your Adfin console </strong>where you'll have the opportunity to upgrade and use this new functionality. </p>",,,https://adfin.com/changelog/your-business-name-on-customers-bank-statements-when-paying-with-direct-debit
Sign in with Xero,sign-in-with-xero,2025-02-03T00:00:00Z,Accountants & Bookkeepers,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/67a0c473f47ac37cc137bf81_Screenshot%202025-02-03%20at%2013.28.04.png,<p>We've added sign in with Xero to make it quicker than ever for Xero users to log in to Adfin. </p>,"<p id="""">We've added sign in with Xero to make it quicker than ever for Xero users to log in to Adfin. </p><p id="""">‍</p><p id="""">If you have Xero integrated to Adfin, simply select the ""Sign in with Xero"" option when signing in to Adfin - we'll use Xero to authenticate you, meaning you don't have to have a separate password for Adfin. </p>",,,https://adfin.com/changelog/sign-in-with-xero
Simplified direct debit mandate statuses,simplified-direct-debit-mandate-statuses,2025-11-11T00:00:00Z,Accountants & Bookkeepers,,"<p id="""">‍</p><p id="""">🎯 We've simplified the statuses for direct debit mandates. </p><p id="""">‍<br>The <strong id="""">Signed</strong> status has been removed, so mandates now transition directly from <strong id="""">Awaiting signature</strong> to <strong id="""">Active</strong>. </p><p id="""">‍</p><p id="""">When a mandate becomes <strong id="""">Active</strong>, we'll automatically schedule any payments for that customer to be collected by direct debit.</p>","<p id="""">‍</p><p id="""">🎯 We've simplified the statuses for direct debit mandates. <br><br>The <strong id="""">Signed</strong> status has been removed, so mandates now transition directly from <strong id="""">Awaiting signature</strong> to <strong id="""">Active</strong>. </p><p id="""">‍</p><p id="""">When a mandate becomes <strong id="""">Active</strong>, we'll automatically schedule any payments for that customer to be collected by direct debit.</p><p id="""">‍</p>",,,https://adfin.com/changelog/simplified-direct-debit-mandate-statuses
Stop payment reminder emails being sent to your primary contact,stop-payment-reminder-emails-being-sent-to-your-primary-contact,2026-03-03T00:00:00Z,Accountants & Bookkeepers,,"<p>‍</p><p>You can now <strong>turn off</strong> payment reminder emails being sent to your <strong>primary contact </strong>📧</p><p>‍</p><p>This is perfect if you only want reminders to go to your finance or operations team, rather than your main business contact.</p><p>‍</p><p><strong>👉 </strong>You can manage this setting in the <strong>customer drawer</strong>, under <strong>contact person details.</strong></p><p>‍</p>","<p>‍</p><p>You can now <strong>turn off</strong> payment reminder emails being sent to your <strong>primary contact </strong>📧</p><p>‍</p><p>This is perfect if you only want reminders to go to your finance or operations team, rather than your main business contact.</p><p>‍</p><p><strong>👉 </strong>You can manage this setting in the <strong>customer drawer</strong>, under <strong>contact person details.</strong></p><p>‍</p><p>‍</p><p>‍</p>",,,https://adfin.com/changelog/stop-payment-reminder-emails-being-sent-to-your-primary-contact
Surcharging for business cards,enable-surcharging-and-get-paid-for-free,2026-02-10T00:00:00Z,Accountants & Bookkeepers,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/698b0d5d052967829c3f3c2f_Screenshot%202026-02-10%20at%2010.49.28.png,"<p>You can now use surcharging to <strong>pass the cost of card acceptance back to your customers</strong>, so you can accept business card payments without paying the fees yourself 💳</p><p>‍</p><p>When surcharging is switched on, we’ll automatically add the cost of acceptance to payments made with business cards. Your customer sees the new total upfront, and <strong>you receive the full original payment amount</strong>.</p><p>‍</p><p><strong>Good to know</strong></p><ul><li>Under UK law, only business cards can be surcharged – we automatically detect business cards and add the surcharge amount </li><li>You can control surcharging at your account or customer level</li><li>Apple Pay and Google Pay will be disabled when you use surcharging</li><li>We collect the surcharge directly, so there’s no extra reconciliation for you ✨</li></ul><p> 👉 Head to <strong>Payments settings </strong>→ <strong>Payments </strong>to turn on surcharging.</p>","<p>You can now use surcharging to <strong>pass the cost of card acceptance back to your customers</strong>, so you can accept business card payments without paying the fees yourself 💳</p><p>‍</p><p>When surcharging is switched on, we’ll automatically add the cost of acceptance to payments made with business cards. Your customer sees the new total upfront, and <strong>you receive the full original payment amount</strong>.</p><p>‍</p><p><strong>Good to know</strong></p><ul><li>Under UK law, only business cards can be surcharged – we automatically detect business cards and add the surcharge amount </li><li>You can control surcharging at your account or customer level</li><li>Apple Pay and Google Pay will be disabled when you use surcharging</li><li>We collect the surcharge directly, so there’s no extra reconciliation for you ✨</li></ul><p> 👉 Head to <strong>Payments settings </strong>→ <strong>Payments </strong>to turn on surcharging.</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p>",,,https://adfin.com/changelog/enable-surcharging-and-get-paid-for-free
Sync invoices to QuickBooks,sync-invoices-to-quickbooks,2025-10-07T00:00:00Z,Accountants & Bookkeepers,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/68e552d91045ed593eab813a_Screenshot%202025-10-07%20at%2018.50.08.png,"<p id="""">Great news for QuickBooks users 🎉</p><p>‍</p><p id="""">Invoices you create in Adfin, whether through our invoice tool or invoice capture, can now be pushed straight to QuickBooks automatically 💨</p><p>‍</p><p id="""">Once you send an invoice in Adfin, we’ll add it to QuickBooks for you and mark it as paid when the payment comes through 💷</p><p>‍</p><p id="""">Simple, connected, and one less thing to think about ✅</p><p>‍</p>","<p id="""">Great news for QuickBooks users 🎉</p><p>‍</p><p id="""">Invoices you create in Adfin, whether through our invoice tool or invoice capture, can now be pushed straight to QuickBooks automatically 💨</p><p>‍</p><p id="""">Once you send an invoice in Adfin, we’ll add it to QuickBooks for you and mark it as paid when the payment comes through 💷</p><p>‍</p><p id="""">Simple, connected, and one less thing to think about ✅</p><p>‍</p>",,,https://adfin.com/changelog/sync-invoices-to-quickbooks
Sync partial payments from Xero,sync-partial-payments-from-xero,2024-12-04T00:00:00Z,Accountants & Bookkeepers,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/6751ffb725fcc0a55121c444_Screenshot%202024-12-05%20at%2019.31.52.png,<p>Real-time syncs from Xero to Adfin for payments applied to invoices. </p>,"<p id="""">We know this will be a popular one! When you apply a partial payment against an invoice in Xero, we now sync this in real-time to Adfin so your client will always pay the correct amount. </p><p id=""""> </p><p>‍</p><p id="""">We show your client a breakdown of payments and credit notes that have been applied to an invoice on the payment page and future reminders. You can also view all the previous invoice activity that affects the amount due yourself by clicking into invoice in the console. </p><p id="""">‍</p>",,,https://adfin.com/changelog/sync-partial-payments-from-xero
Sync prepayments to Xero and save time allocating payments,sync-prepayments-to-xero-to-save-time-allocating-payments,2026-01-14T00:00:00Z,Accountants & Bookkeepers,,"<p>‍</p><p>We’ve improved our Xero integration so you can sync payments without an invoice as <strong>prepayments</strong> in Xero. This gives you cleaner books and fewer manual fixes when money arrives before an invoice.</p><p>‍</p><p>You can now:</p><ul><li>Sync payments as <strong>Prepayments </strong>to Xero</li><li>Choose the <strong>account</strong> they’re coded to — including a <strong>Liability</strong> account 📘</li><li><strong>Specify VAT</strong> on the prepayment when it’s pushed to Xero, so tax is handled correctly from the start 🧾</li></ul><p>👉 Head to <strong>Settings → Integrations →Xero configuration</strong> to manage how prepayments are synced.</p><p>‍</p>","<p>‍</p><p>We’ve improved our Xero integration so you can sync payments without an invoice as <strong>prepayments</strong> in Xero. This gives you cleaner books and fewer manual fixes when money arrives before an invoice.</p><p>‍</p><p>You can now:</p><ul><li>Sync payments as <strong>Prepayments </strong>to Xero</li><li>Choose the <strong>account</strong> they’re coded to — including a <strong>Liability</strong> account 📘</li><li><strong>Specify VAT</strong> on the prepayment when it’s pushed to Xero, so tax is handled correctly from the start 🧾</li></ul><p>👉 Head to <strong>Settings → Integrations →Xero configuration</strong> to manage how prepayments are synced.</p><p>‍</p><p>‍</p>",,,https://adfin.com/changelog/sync-prepayments-to-xero-to-save-time-allocating-payments
Syncing of edits on approved Xero invoices,syncing-edits-on-approved-xero-invoices,2025-01-03T00:00:00Z,Accountants & Bookkeepers,,<p>Adfin now syncs edits made to invoices that are already approved on Xero. </p>,"<p id="""">If you make edits to the line items, amounts, or date of an invoice after approval on Xero, Adfin will pick these up. </p><p>‍</p><p id="""">Your customer will receive the updated invoice in the next notification we send to them. </p>",,,https://adfin.com/changelog/syncing-edits-on-approved-xero-invoices
"Syncing overpayments, prepayments, and customer credit changes",syncing-overpayments-prepayments-and-customer-credit-changes,2025-08-26T00:00:00Z,Accountants & Bookkeepers,,"<p>‍</p><p id="""">Good news! <strong>Adfin now syncs all payment and credit types from Xero and QuickBooks.</strong><br></p><p id=""""> </p><p id="""">‍</p><p id="""">👉 When an invoice is updated with an overpayment, prepayment or credit, we’ll immediately sync this to Adfin and adjust the amount due so your customer always pays the correct amount.<br></p><p id=""""> </p><p id="""">‍</p><p id="""">✅ Collection amounts are also automatically adjusted for any change in credit notes, like when you delete a credit note or edit the amount applied on an invoice.</p><p id="""">‍</p>","<p id="""">‍</p><p id="""">Good news! <strong id="""">Adfin now syncs all payment and credit types from Xero and QuickBooks.</strong><br></p><p id=""""> </p><p id="""">‍</p><p id="""">👉 When an invoice is updated with an overpayment, prepayment or credit, we’ll immediately sync this to Adfin and adjust the amount due so your customer always pays the correct amount.<br></p><p id=""""> </p><p id="""">‍</p><p id="""">✅ Collection amounts are also automatically adjusted for any change in credit notes, like when you delete a credit note or edit the amount applied on an invoice.</p><p id="""">‍</p><p id="""">‍</p>",,,https://adfin.com/changelog/syncing-overpayments-prepayments-and-customer-credit-changes
