Name,Slug,Source Page,Source Page Id,Eyebrow,Headline,Intro,Card Title,Card Snippet,Card Image,Tag,Read Time,Page Images,Pull Quote,Pull Quote Name,Pull Quote Role,Company,Website,Website Label,Industry,Size,Region,Accounting Software,Products Used,Video Caption,At A Glance,Challenge,Solution,Results
Gascoynes,gascoynes-accountancy,/case-studies/gascoynes-accountancy,6a33ede9927f2b6737d4bd2d,CUSTOMER STORIES · GASCOYNES,"Turnover up 8%, debtors down 10%: How Gascoynes has freed up cash flow to fund its tenth acquisition.","Gascoynes replaced four disconnected payment methods and manual credit control with one platform, and changed the trajectory of its debtor book.","Turnover up 8%, debtors down 10%: How Gascoynes has freed up cash flow to fund their tenth acquisition.","Gascoynes replaced four disconnected payment methods and manual credit control with one platform, and changed the trajectory of its debtor book.",https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a5132013b5161a91b58013e_GS.avif,Accountancy,4 min read,,"“We just send an email, here is your payment link, and clients love it. Whether it’s Apple Pay or credit card, they’ll just be double-clicking on their phone like they would with any other bill.”",Chris Reeve,"Managing Director, Gascoynes",Gascoynes,https://gascoynes.co.uk,gascoynes.co.uk ↗,Accountancy,"5 offices · ~2,000 clients",Norfolk & Suffolk,QuickBooks,"Payment links, Direct debit, Customer agents, Quickbooks integration",Watch · The Gascoynes story,"<h3>Four disconnected tools became one platform, and the debtor book fell 10% in the same year turnover rose 8%.</h3><p>With cash flow freed up, Gascoynes can fund its tenth acquisition with less borrowing, and a leaner credit control team that won’t need to grow with the firm.</p>","<h3>A collections process that didn’t scale</h3><p>Gascoynes runs three offices across Norfolk and Suffolk, looks after around 2,000 clients, and has grown through nine acquisitions in thirteen years.</p><p>Payment arrived four different ways: PayPal, card over the phone, QuickBooks Payments, and Satago for chasing, each running separately, with no central view of what had been paid or what was outstanding. It wasn’t straightforward for clients either: they had to hunt through statement text to find a payment link.</p><p>Every invoice reminder was sent manually. Reminders rarely prompted a response, and there was no visibility into why. As invoice volume grew, so did the credit control headcount.</p><blockquote><p>“It was just a real mishmash of different apps. The credit control team seemed to be growing, with more and more people involved in chasing the debts.”</p><cite>Chris Reeve · Managing Director, Gascoynes</cite></blockquote>","<h3>One platform, every way to pay</h3><h4>Everything in one place</h4><p>Adfin replaced all four disconnected methods. Payment links, Direct Debit and automated chasing now run from a single place across all three offices.</p><blockquote><p>“We’ve just consolidated, reduced the amount of apps that we use, and really simplified the process across the various offices we’ve got.”</p><cite>Chris Reeve · Managing Director</cite></blockquote><h4>Chasing that works</h4><p>Gascoynes eliminated manual chasing by setting up automated workflows in Adfin, configured in their own voice. Because reminders sound like they come from the firm, clients respond to them.</p><blockquote><p>“It seems like it’s coming from us, but they’re actually all automated workflows. We get probably five responses a day. From previous reminders, we wouldn’t usually get any.”</p><cite>Jaime · Credit Controller</cite></blockquote><h4>Real-time visibility &amp; automatic reconciliation</h4><p>Adfin’s QuickBooks integration gives the team a real-time view of what’s been collected and what’s outstanding, reconciling payments automatically without manual intervention.</p><blockquote><p>“Everything that comes through Adfin has been reconciled automatically through QuickBooks. There’s not any overdue payments in QuickBooks that aren’t in Adfin.”</p><cite>Jaime · Credit Controller</cite></blockquote>","<h3>Turnover up, debtors down</h3><p>Over the same twelve months, turnover grew 8% while the debtor book fell 10%, and the late-payer rate dropped by more than a third.</p><blockquote><p>“Adfin has been very responsible for this.”</p><cite>Chris Reeve · Managing Director</cite></blockquote><h4>A leaner credit control function</h4><p>As Gascoynes enters its next phase of acquisitions, the credit control function won’t need to grow with it. More clients, same team.</p><blockquote><p>“Adfin has definitely helped the process be more efficient and consolidate the team, so there are fewer people working on it now.”</p><cite>Chris Reeve · Managing Director</cite></blockquote><h4>Funding the tenth acquisition with less borrowing</h4><p>Gascoynes is buying its tenth practice next year. Improved cash flow means the deal leans less on external funding.</p><blockquote><p>“Improved cash flow is great because we are acquiring another firm next year. It will save us on any funding solutions and ultimately save us in loan interest.”</p><cite>Chris Reeve · Managing Director</cite></blockquote>"
Jumpstart,jumpstart,/case-studies/jumpstart,6a6c5fc444b5a1d98f14fbd6,CUSTOMER STORIES · JUMPSTART,How Jumpstart cut average days late by 73% with a finance team of one.,"Maria runs invoicing at Jumpstart on her own. Recruitment fees are large and land three months after the placement, so chasing them had become most of the job. Since using Adfin, invoice volume has quadrupled; the time she spends chasing has not.",Jumpstart cut average days late by 73% with a finance team of one.,"Maria runs invoicing at Jumpstart on her own. Recruitment fees are large and land three months after the placement, so chasing them had become most of the job. Since using Adfin, invoice volume has quadrupled; the time she spends chasing has not.",https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a830539257758eceb249b6a_JS%20Thumbnail.avif,Recruitment,4 min read,,"""Given the rate that we're scaling, if we didn't have Adfin today, we'd probably have to hire a whole finance team to manage our invoices manually. Or my whole role would have to become just invoicing.""",Maria Monge-Navarro,"Operations, Jumpstart",Jumpstart,https://jumpstart-uk.com/,www.jumpstart-uk.com ↗,Recruitment,Fast-growing startup,UK,QuickBooks,"Payment links, Customer agents, Quickbooks integration",Watch · The Jumpstart story,"<h3>Invoice volume quadrupled. Average days late fell 73%. Invoicing is still one person's job.</h3><p>With chasing, collection and reconciliation handled in one place, Jumpstart can now keep growing invoice volume in a scalable way without creating more work.</p>","<h3>Chasing that couldn't collect.</h3><p>Jumpstart places people into startups. The fee is a share of the salary rather than a rate for hours, so the invoices are large. They also go out three months after the placement, once the candidate has passed probation.</p><p>By then the work is finished and there is nothing left to withhold, which makes the invoice easy for a client to leave until later.</p><blockquote><p>“We spend the vast majority of our time building a good product for startups. What we don't have enough time to do is build a process to go off and just get paid.”</p><cite>Matthew Sarre · Co-founder, Jumpstart</cite></blockquote><p>The process underneath was assembled from separate parts that did not work together.</p><p>Chasing emails were sent out through Zapier, but QuickBooks could not attach the invoice, so clients were being asked to go through their documents, find the invoice in a previous email, and then pay.</p><blockquote><p>“Once a payment comes into your bank account, great, someone's paid you. But which client is it?.”</p><cite>Maria · Operations, Jumpstart</cite></blockquote><p>By October 2025, the volume had outgrown the process. Matthew and Maria spent a week on the phone and brought in £200,000 by chasing manually. Then they went looking for something that would do it without them.</p>","<h3>Adfin fits around the tools Jumpstart already use.</h3><p>Jumpstart has not changed how they raise invoices. Adfin picks them up from QuickBooks through the direct integration, sends the reminders, takes the payment, and marks the invoice as paid in QuickBooks once the money lands.</p><h4>Chasing happens on its own</h4><p>Reminders go out on a schedule set once, by email and WhatsApp. Nobody has to start them.</p><h4>Clients can pay directly from emails</h4><p>Every reminder carries a payment link, with nothing for the client to set up.</p><blockquote><p>“Every chaser has the invoice link attached. People are paying directly from those chasers, which is so useful.”</p><cite>Maria · Operations, Jumpstart</cite></blockquote><h4>Everything is matched automatically</h4><p>Each payment comes back against the invoice it belongs to. Working out who had paid what went from around five hours a month to 20 minutes.</p>","<h3>4x the invoices. No increase in chasing time.</h3><p>Six invoices that were already overdue when Jumpstart started with Adfin have since been paid, worth more than £50,000. Average days late fell from 23.7 to 6.4.</p><blockquote><p>“Cash flow enables anything and everything. If you've got money in the bank, you're not worrying about making payroll, or paying your own invoices.”</p><cite>Matthew · Co-founder, Jumpstart</cite></blockquote><p>Invoice volume has roughly quadrupled since Maria took the process over. The time she spends chasing has not.</p><blockquote><p>“The question really becomes, as a founder who is scaling their business, whether you want to invest time in building out a process that is not core to your product, or do you want to leverage somebody else's.”</p><cite>Matthew · Co-founder, Jumpstart</cite></blockquote><p>Jumpstart chose the second. Getting paid runs in the background now rather than being a process someone maintains, and with volume set to rise again this year, the finance team is still one person.</p>"
Helpbox,helpbox-uk,/case-studies/helpbox-uk,6a3c13eb120a447347b2e851,CUSTOMER STORIES · HELPBOX,How Helpbox tripled on-time payments and cut collection costs by 58%,"A fast-growing accountancy firm replaced four payment tools with one platform, automated its chasing, and got paid faster across thousands of clients.",Helpbox scaled support without scaling headcount.,"A fast-growing accountancy firm replaced four payment tools with one platform, automated its chasing, and got paid faster across thousands of clients.",https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a513201d2abf749b62b43c0_Helpbox.avif,Accountancy,3 min read,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a513201d2abf749b62b43c0,"“Working with Adfin feels like a dream scenario for a business owner - I've got a team of smart, dedicated people building software to solve my biggest business problems.”",Alex Eames,"CEO,  Helpbox UK",Helpbox,https://helpboxuk.com/,www.helpboxuk.com/ ↗,Accountancy,~500 clients,Hampshire,Xero,"Payment links, Direct debit, Customer agents, Xero integration",,"<h3>How Helpbox tripled the amount of payments collected on time with Adfin</h3><p>Helpbox UK is a leading provider of accounting of bookkeeping services, working with thousands of SMEs across the UK on a clear mission: to simplify and digitise financial management for its clients.As it grew, the problem Helpbox solved for everyone else started showing up in its own back office, with invoicing and payment collection spread across several providers. Moving to a single platform cut collection costs by 58%, retired three tools, and got invoices paid faster.</p>","<h3>Generic reminders weren’t cutting it</h3><p>Helpbox was collecting payments through a mix of tools that had served it well early on but were straining as the firm grew. Working with multiple providers drove costs up and slowed collection down. A significant share of invoices went unpaid on time, which pushed debtor days higher, and the team spent too long managing invoices and chasing payments by hand. The firm needed something that could keep pace with its growth.</p>","<h3>Automated custom reminders using Adfin</h3><p>Helpbox moved to a single platform that combined card payments and invoice chasing in one place, with a best-in-class user experience:</p><ul><li>Integrated invoicing: automated reminders and built-in chasing to bring payments in faster.</li><li>One system, end to end:  four separate tools replaced by a single platform.</li><li>A process that scales: one simple onboarding flow to bring new clients on faster.</li></ul>",
Pillow May,pillow-may,/case-studies/pillow-may,6a3bd086c386bb7e5a13bfdf,CUSTOMER STORIES · PILLOW MAY,How Adfin helps Pillow may get 70% invoices paid within 48 hours,"Pillow May wanted invoicing that stayed personal without the manual admin. Adfin sends customised reminders from their own domain, and gets 70% of their invoices paid within two working days.",How Pillow May now get 70% invoices paid within 48 hours.,Pillow May wanted invoicing that stayed personal without the manual admin. Adfin means they get 70% of their invoices paid within two working days.,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a513201a3a9bc6f2e1bf8ab_PM.avif,Accountancy,3 min read,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a3bd461364bd2b8ac5828ff,"“Our core values are PINK: personal, inspiring, nurturing, kinship - so the personal part is really important to us. That's why Adfin is a game-changer: it keeps our invoicing process personal but takes the admin off our plate.”",Samantha Sollis,"Operations Director, Pillow May",Pillow May,https://pillowmay.co.uk/,pillowmay.co.uk ↗,Accountancy,~500 clients,Wiltshire,Xero,"Payment links, Direct debit, Customer agents, Xero integration",,"<h3>How Pillow may got their overdue invoice rate down to 6x lower than the UK average.</h3><p>Pillow May are a Wiltshire-based accountancy firm that offer a dynamic, fresh approach to accounting and tax services, and combine cloud software expertise with a human and jargon-free approach to their clients. The Pillow May team started working with Adfin in September 2025, migrating &gt;250 client mandates to Adfin from another direct debit provider and using on-demand links for one-off payments. Now their workflow combines Socket, Xero and Adfin for streamlined invoicing that gets them paid faster, reduces their manual workload and still feels personal and authentic to their brand.</p>","<h3>Generic reminders weren’t cutting it</h3><p>Before Adfin, Pillow May relied on basic reminders to get their invoices paid. Technically, they did the job (reminders were being sent), but in practice, they weren’t effective in improving collection times because:</p><ul><li>Reminders were generic and easy to ignore</li><li>Clients had to open invoices and hunt for bank details to action them</li><li>Emails sent from third-party systems sometimes landed in spam (or clients rang up to check they weren’t fake!)</li><li>Sam still had to send personal follow-ups to get action</li></ul><blockquote><p>“The messages boiled down to ""You can find the details of how to pay this in the invoice"" so the reminders just got overlooked.”</p><cite>Samantha Sollis · Operations Director, Pillow May</cite></blockquote>","<h3>Automated custom reminders using Adfin</h3><p>The Pillow May team set up Adfin Autopilot, enabling them to automatically send customised and contextual reminders to their clients, in their own tone and style (and from their own emails). This worked for two reasons:</p><ul><li>The reminder was authentic to Pillow May - clients recognised the branding, tone and domain of the reminder, making them more likely to trust it (and therefore pay!)</li><li>Every reminder included a 'pay now' link- clients could read the reminder, and pay their invoice in two clicks.</li></ul><blockquote><p>“Because it's intelligent, I don't have to worry about trying to find what the invoices are or what amount is owed - I just click send and I know that Adfin will sort out everything within that email - for me it was a huge game-changer.”</p><cite>Samantha Sollis · Operations Director</cite></blockquote>","<h3>Invoices paid on time</h3><p>Since bring in on Adfin:</p><ul><li>45% of Pillow May's invoices are now paid on the same day</li><li>27% are paid within the next two working days</li><li>Pillow May's overdue invoice rate is 6x lower than the UK average</li><li>Sam can focus on client work, not copy-pasting invoice numbers into emails!</li></ul>"
Nuvo,nuvo-accountancy,/case-studies/nuvo-accountancy,6a512f7e2f50ec4f7f40bf95,CUSTOMER STORIES · NUVO,"How Adfin helps Nuvo, the UK's fastest-growing accountancy firm, standardise payments at scale","Nuvo has grown rapidly over the last two years. Every firm it acquires arrives with its own challenges and its own way of getting paid. Adfin gives Nuvo one platform to bring every acquisition onto, migrating 2,500 direct debit mandates in its first rollout alone.","How Adfin helps Nuvo, the UK’s fastest-growing accountancy firm, standardise payments at scale.","Nuvo has grown rapidly over the last two years through M&A. Adfin gives Nuvo one platform to bring every acquisition onto, migrating 2,500 direct debit mandates in its first rollout.",https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a5132013c3b0a7d65bcfdd3_Nuvo.avif,Accountancy,3 min read,,“We had 20 years of direct debit mandate history to wash through as part of this... the support we got in that journey was fantastic.”,Phil Reader,"CFO, Nuvo Accountancy",Nuvo,https://nuvo.co.uk/,nuvo.co.uk ↗,Accountancy,"21 offices, £30m revenue","Derbyshire, UK-wide",Xero,"Payment links, Direct debit, Digital payments, Xero integration",,"<h3>How Nuvo built a repeatable payments playbook for its acquisition strategy</h3><p>Every firm Nuvo brings into the group arrives with its own way of collecting client money - different direct debit providers, different invoicing habits, and in some cases, still cheques and cash. To bring every acquisition onto one modern payment experience without disrupting client relationships, Nuvo made Adfin the backbone of its integration playbook, working alongside Socket for pricing and client engagement.</p>","<h3>A patchwork of payment tools, multiplied by every acquisition</h3><p>Nuvo grows almost entirely through M&amp;A - 45 deals completed to date, with a plan to keep doubling revenue over the next three to four years.</p><p>But every firm it acquires brings its own way of collecting client money: separate direct debit providers, different invoicing habits, and sometimes cheques and cash.</p><p>That made each deal an admin integration project as well as a legal one. Direct debit mandate histories stretched back 20 years, with real matching risk whenever client data moved between providers, and support from the previous provider was slow, with cases logged and left waiting. Credit control, meanwhile, was split across Excel, Satago and manual portfolio reviews, leaving no single view of the group's debtor position.</p><blockquote><p>“There's complexity with bringing in lots of different businesses. They've got different ways of working: how they operate their finances, how they engage their clients. How they pay is a key element. So we wanted to ensure that we have a platform that means the client's experience is better under Nuvo,. rather than it being a step backwards.”</p><cite>Phil Reader · CFO, Nuvo Accountancy</cite></blockquote>","<h3>Payments that scale with M&amp;A</h3><h4>One payment layer for the group</h4><p>Nuvo made Adfin the standard payment layer for every firm it brings into the group, working alongside Socket for pricing and client engagement. Each acquisition lands on the same stack, so clients experience the move as a step up rather than a disruption.</p><blockquote><p>“The tech we adopt is there to make sure we're presenting the business in the best possible way from day one.”</p><cite>Phil Reader · CFO</cite></blockquote><h4>A migration playbook</h4><p>The first move was the biggest: around 2,500 direct debit mandates and 20 years of mandate history, from signed agreement to first live collection in eight weeks. Future subsidiary migrations are expected to take four to six.</p><blockquote><p>“We've got a nice, repeatable process... data extraction, data cleansing, and then working with Chris and the wider Adfin team on that mapping. Having that clear process will make it a lot smoother going forward.”</p><cite>Alex Flynn Smith · Financial Controller</cite></blockquote><h4>More ways to accept payments</h4><p>Card, Apple Pay and Google Pay sit alongside direct debit, giving smaller clients and sole traders a way to pay without setting up a mandate. Payments reconcile automatically into Xero, so the credit control team isn't matching them by hand.</p><blockquote><p>“Clients who are on the move can just click on their phone and pay it straight away, whereas we didn't have that with the old system.”</p><cite>Emma · Finance Manager</cite></blockquote><h4>Someone at the end of the phone</h4><p>Mandates auto-match to the right client, and failed direct debits are chased automatically. But when human support is needed, it's there.</p><blockquote><p>“Chris is on hand pretty much straight away and sorts it out as soon as possible. With our previous provider, we'd sometimes have to log a case and wait two or three days for a response, dealing with different people. That's never the case with Adfin.”</p><cite>Emma · Financial Manager</cite></blockquote>","<h3>Reducing debtor days across the group</h3><p>The migration is done. But the team is candid that the biggest financial gains are still ahead.</p><blockquote><p>“The next milestone is once we've got multiple entities live on the platform, and then working on credit control together, that's when we'd expert to start moving those DSO numbers.”</p><cite>Phil Reader · CFO</cite></blockquote><h4>""Doubling, then doubling again""</h4><p>Nuvo's plan is to continuing growing through M&amp;A, with the infrastucture in place to support.</p><blockquote><p>“Our target is to get from £30 million to £100 million. Effectively, doubling, and doubling again over the next three years. Adfin will play a key part in this.”</p><cite>Phil Reader · CFO</cite></blockquote>"
