Client,Position,Visible,Tag,Read Time,Card Title,Card Snippet,Card Image,Card Image Asset Id,Card Link,Case Study Page,Notes
Jumpstart,Featured 1,true,Recruitment,4 min read,Jumpstart cut average days late by 73% with a finance team of one.,"Maria runs invoicing at Jumpstart on her own. Recruitment fees are large and land three months after the placement, so chasing them had become most of the job. Since using Adfin, invoice volume has quadrupled; the time she spends chasing has not.",https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a830539257758eceb249b6a_JS%20Thumbnail.avif,6a830539257758eceb249b6a,,/case-studies/jumpstart,
Nuvo,Featured 2,true,Accountancy,3 min read,"How Adfin helps Nuvo, the UK’s fastest-growing accountancy firm, standardise payments at scale.","Nuvo has grown rapidly over the last two years through M&A. Adfin gives Nuvo one platform to bring every acquisition onto, migrating 2,500 direct debit mandates in its first rollout.",https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a5132013c3b0a7d65bcfdd3_Nuvo.avif,6a5132013c3b0a7d65bcfdd3,,/case-studies/nuvo-accountancy,
Helpbox,Grid 1 / item 1,true,Accountancy,3 min read,Helpbox scaled support without scaling headcount.,"A fast-growing accountancy firm replaced four payment tools with one platform, automated its chasing, and got paid faster across thousands of clients.",https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a513201d2abf749b62b43c0_Helpbox.avif,6a513201d2abf749b62b43c0,,/case-studies/helpbox-uk,
Pillow May,Grid 1 / item 2,true,Accountancy,3 min read,How Pillow May now get 70% invoices paid within 48 hours.,Pillow May wanted invoicing that stayed personal without the manual admin. Adfin means they get 70% of their invoices paid within two working days.,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a513201a3a9bc6f2e1bf8ab_PM.avif,6a513201a3a9bc6f2e1bf8ab,,/case-studies/pillow-may,
Nuvo,Grid 1 / item 3,false,Accountancy,6 min read,"How Nuvo moved 2,500 direct debit mandates to Adfin in eight weeks","45 acquisitions in, the UK’s fastest growing accountancy firm needed one way to get paid across the whole group.",https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a5132013c3b0a7d65bcfdd3_Nuvo.avif,6a5132013c3b0a7d65bcfdd3,,/case-studies/nuvo-accountancy,"HIDDEN in Designer. Older duplicate of the Nuvo featured card - different title, snippet and read time."
Gascoynes,Grid 2 / item 1,true,Accountancy,4 min read,"Turnover up 8%, debtors down 10%: How Gascoynes has freed up cash flow to fund their tenth acquisition.","Gascoynes replaced four disconnected payment methods and manual credit control with one platform, and changed the trajectory of its debtor book.",https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a5132013b5161a91b58013e_GS.avif,6a5132013b5161a91b58013e,,/case-studies/gascoynes-accountancy,
Nourished Accounting,Grid 2 / item 2,true,Accountancy,3 min read,"0% overdue invoices, 99% of the time: How Nourished Accounting gets paid on time, every time.","By connecting onboarding, recurring billing and credit control in one workflow with Adfin and Engager, Nourished Accounting has reduced ",https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a5ddabdc149ca67380c825a_Nourished.png,6a5ddabdc149ca67380c825a,https://adfin.com/post/how-nourished-accounting-gets-paid-on-time,,NO case study page - links to a blog post. Snippet is TRUNCATED mid-sentence in the source ('has reduced ').
Nuvo,Grid 2 / item 3,false,Accountancy,6 min read,"How Nuvo moved 2,500 direct debit mandates to Adfin in eight weeks","45 acquisitions in, the UK’s fastest growing accountancy firm needed one way to get paid across the whole group.",https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a5132013c3b0a7d65bcfdd3_Nuvo.avif,6a5132013c3b0a7d65bcfdd3,,/case-studies/nuvo-accountancy,HIDDEN in Designer. Second identical copy of the hidden Nuvo card above.
